filepath,category,class,split
data\split\train\flowers\Abutilon\c129f88763_aug2.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\65509819e1.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\27a8425ab7_aug0.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\c1ae29a2ef.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\f43b45b460_aug2.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\65509819e1_aug1.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\c129f88763_aug0.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\8c45bbef7d_aug2.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\f43b45b460_aug0_aug2.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\e2756496eb_aug0_aug0.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\c129f88763.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\38021371ad_aug1_aug1.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\4319d1b9bf_aug0_aug2.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\1bcd0e24cd_aug2_aug2.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\27a8425ab7_aug0_aug1.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\8a23457e6b_aug0_aug1.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\4279f93363_aug1_aug0.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\7e35277074.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\0d71f95d23_aug2.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\88047e5c31_aug0_aug1.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\4a9b34066c_aug2.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\c3a53b1674_aug1_aug1.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\1a2a9dff64.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\08b1dc1855_aug2_aug1.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\affac9f5ad_aug0_aug1.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\08b1dc1855_aug1_aug0.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\50c404b35e_aug2.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\1bcd0e24cd_aug2.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\76a961dfc4_aug2_aug1.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\f10e4adf4f_aug1_aug2.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\4319d1b9bf_aug0_aug0.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\4a9b34066c_aug1.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\9e69c07101.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\549bc34b29.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\8a23457e6b_aug1.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\c129f88763_aug0_aug1.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\88047e5c31_aug0_aug0.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\50c404b35e_aug0.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\a343cb50aa_aug0.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\08b1dc1855_aug2_aug2.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\50c404b35e_aug0_aug2.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\91daca94d9_aug2.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\a87e76fa43_aug2.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\b78697739e_aug1.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\f10e4adf4f_aug1_aug1.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\4319d1b9bf.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\f7f0dbfe3a_aug1_aug2.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\f43b45b460_aug0_aug0.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\b99d921b19.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\a87e76fa43_aug2_aug1.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\f10e4adf4f_aug0_aug1.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\08b1dc1855_aug1_aug1.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\2d2dfaf1c1_aug1.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\76a961dfc4_aug0_aug2.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\846fedd012.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\8c45bbef7d_aug1.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\2a0767423f_aug1.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\b15c90e1ba_aug2.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\9e69c07101_aug1.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\0d71f95d23_aug1.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\e6e46f74cc_aug1_aug2.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\9e69c07101_aug2_aug1.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\c129f88763_aug0_aug2.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\2d2dfaf1c1_aug2.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\88047e5c31_aug0.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\38021371ad_aug1_aug0.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\aa1d6640f7_aug1_aug0.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\b427759037_aug0_aug1.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\7e35277074_aug0.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\b78697739e_aug1_aug1.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\65509819e1_aug2.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\8c45bbef7d_aug2_aug2.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\1bcd0e24cd_aug0.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\2e1c48e763_aug2_aug0.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\50c404b35e_aug1.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\66761ec0e3_aug0_aug2.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\aa1d6640f7_aug1_aug1.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\581c3330e0.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\7843e2445f_aug0_aug2.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\08b1dc1855_aug1_aug2.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\aa1d6640f7_aug1.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\4319d1b9bf_aug2.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\08b1dc1855_aug2_aug0.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\c6f865d709_aug1.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\f84c310e32_aug1_aug2.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\f10e4adf4f_aug0_aug0.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\897133cc2c_aug0.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\31b0b21ed5_aug2_aug1.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\c3a53b1674_aug1.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\b2feb55dd4_aug0.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\b99d921b19_aug0.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\affac9f5ad_aug0.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\76a961dfc4_aug0.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\1bcd0e24cd_aug0_aug0.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\f7f0dbfe3a_aug1.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\fb52a88de2_aug0_aug2.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\2e1c48e763_aug2_aug1.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\581c3330e0_aug1.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\b15c90e1ba_aug2_aug0.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\e6e46f74cc_aug1_aug1.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\b15c90e1ba_aug2_aug2.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\4319d1b9bf_aug0.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\f43b45b460_aug0_aug1.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\7843e2445f_aug0.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\4a9b34066c.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\c3a53b1674_aug1_aug2.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\f10e4adf4f_aug1_aug0.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\def4ff714d_aug2_aug2.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\b99d921b19_aug1.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\24d74cbb40_aug2.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\65509819e1_aug0.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\66e1dc0cdc_aug2_aug1.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\1bcd0e24cd_aug0_aug1.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\0b2bc088e2_aug1_aug2.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\6606ab6175_aug2.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\0b2bc088e2_aug2_aug2.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\0b2bc088e2_aug2_aug1.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\b2feb55dd4_aug0_aug2.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\f43b45b460_aug0.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\2e1c48e763.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\4279f93363_aug1_aug1.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\91daca94d9_aug0.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\87ef79ff1a_aug2.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\08b1dc1855_aug1.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\fb52a88de2_aug0.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\42c9161a58_aug2_aug1.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\b427759037_aug0.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\8a23457e6b_aug0.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\66e9897764_aug1.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\b78697739e_aug1_aug0.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\4b7e11ddb6_aug0.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\f7f0dbfe3a_aug0.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\2a0767423f.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\b99d921b19_aug2.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\7e35277074_aug1.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\4279f93363_aug1.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\1a2a9dff64_aug0.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\66761ec0e3_aug0_aug0.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\24d74cbb40_aug2_aug2.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\66761ec0e3_aug0.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\9e69c07101_aug2.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\04f51e35e6_aug0.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\c6f865d709_aug2.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\8c05b6616c_aug1_aug2.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\f7f0dbfe3a_aug0_aug1.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\38021371ad_aug1_aug2.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\aa2c66197b_aug2.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\4319d1b9bf_aug0_aug1.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\a87e76fa43_aug2_aug0.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\aa2c66197b.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\9e69c07101_aug2_aug0.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\1a2a9dff64_aug2.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\b78697739e_aug1_aug2.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\04f51e35e6_aug0_aug1.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\66e9897764_aug1_aug2.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\2e1c48e763_aug2.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\e2756496eb_aug2_aug0.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\c6f865d709.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\8c05b6616c_aug1.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\b427759037_aug0_aug2.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\def4ff714d_aug2_aug1.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\aa1d6640f7_aug2.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\76a961dfc4_aug2_aug2.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\549bc34b29_aug0_aug0.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\c129f88763_aug0_aug0.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\c6f865d709_aug0.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\7e35277074_aug2.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\24d74cbb40_aug0_aug0.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\1a2a9dff64_aug1.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\fb52a88de2_aug0_aug1.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\def4ff714d_aug2.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\6606ab6175_aug2_aug1.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\66761ec0e3_aug0_aug1.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\a343cb50aa_aug0_aug0.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\e2756496eb_aug1.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\4a9b34066c_aug0.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\aa2c66197b_aug0.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\9e69c07101_aug0.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\549bc34b29_aug0_aug1.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\76a961dfc4_aug2.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\8c45bbef7d_aug1_aug2.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\a343cb50aa_aug0_aug1.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\66e9897764_aug0.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\76a961dfc4.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\8c45bbef7d_aug1_aug1.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\e2756496eb_aug0_aug1.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\def4ff714d_aug2_aug0.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\2e1c48e763_aug2_aug2.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\1bcd0e24cd_aug2_aug1.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\581c3330e0_aug2_aug0.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\846fedd012_aug2.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\f43b45b460_aug1.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\6606ab6175_aug2_aug2.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\87ef79ff1a_aug1.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\aa1d6640f7_aug1_aug2.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\aa2c66197b_aug1.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\e2756496eb_aug2_aug2.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\76a961dfc4_aug0_aug0.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\2a0767423f_aug0_aug2.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\f7f0dbfe3a_aug1_aug0.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\31b0b21ed5_aug2.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\50c404b35e_aug0_aug1.jpg,flowers,Abutilon,train
data\split\val\flowers\Abutilon\42c9161a58_aug2.jpg,flowers,Abutilon,val
data\split\val\flowers\Abutilon\9e69c07101_aug2_aug2.jpg,flowers,Abutilon,val
data\split\val\flowers\Abutilon\08b1dc1855_aug2.jpg,flowers,Abutilon,val
data\split\val\flowers\Abutilon\a343cb50aa_aug0_aug2.jpg,flowers,Abutilon,val
data\split\val\flowers\Abutilon\2d2dfaf1c1_aug0.jpg,flowers,Abutilon,val
data\split\val\flowers\Abutilon\0b2bc088e2_aug1.jpg,flowers,Abutilon,val
data\split\val\flowers\Abutilon\91daca94d9_aug1.jpg,flowers,Abutilon,val
data\split\val\flowers\Abutilon\91daca94d9.jpg,flowers,Abutilon,val
data\split\val\flowers\Abutilon\aa1d6640f7.jpg,flowers,Abutilon,val
data\split\val\flowers\Abutilon\c1ae29a2ef_aug1.jpg,flowers,Abutilon,val
data\split\val\flowers\Abutilon\897133cc2c_aug0_aug1.jpg,flowers,Abutilon,val
data\split\val\flowers\Abutilon\2a0767423f_aug2.jpg,flowers,Abutilon,val
data\split\val\flowers\Abutilon\c3a53b1674_aug1_aug0.jpg,flowers,Abutilon,val
data\split\val\flowers\Abutilon\e2756496eb_aug2_aug1.jpg,flowers,Abutilon,val
data\split\val\flowers\Abutilon\846fedd012_aug1.jpg,flowers,Abutilon,val
data\split\val\flowers\Abutilon\b2feb55dd4_aug0_aug1.jpg,flowers,Abutilon,val
data\split\val\flowers\Abutilon\31b0b21ed5_aug2_aug0.jpg,flowers,Abutilon,val
data\split\val\flowers\Abutilon\4b7e11ddb6_aug0_aug1.jpg,flowers,Abutilon,val
data\split\val\flowers\Abutilon\581c3330e0_aug2_aug1.jpg,flowers,Abutilon,val
data\split\val\flowers\Abutilon\24d74cbb40_aug0_aug2.jpg,flowers,Abutilon,val
data\split\val\flowers\Abutilon\2e1c48e763_aug0.jpg,flowers,Abutilon,val
data\split\val\flowers\Abutilon\c1ae29a2ef_aug2.jpg,flowers,Abutilon,val
data\split\val\flowers\Abutilon\c129f88763_aug1.jpg,flowers,Abutilon,val
data\split\val\flowers\Abutilon\24d74cbb40_aug2_aug0.jpg,flowers,Abutilon,val
data\split\val\flowers\Abutilon\846fedd012_aug0.jpg,flowers,Abutilon,val
data\split\val\flowers\Abutilon\7843e2445f_aug0_aug1.jpg,flowers,Abutilon,val
data\split\val\flowers\Abutilon\0b2bc088e2_aug2.jpg,flowers,Abutilon,val
data\split\val\flowers\Abutilon\87ef79ff1a.jpg,flowers,Abutilon,val
data\split\val\flowers\Abutilon\f10e4adf4f_aug1.jpg,flowers,Abutilon,val
data\split\val\flowers\Abutilon\b427759037_aug0_aug0.jpg,flowers,Abutilon,val
data\split\val\flowers\Abutilon\8a23457e6b_aug0_aug0.jpg,flowers,Abutilon,val
data\split\val\flowers\Abutilon\66e9897764.jpg,flowers,Abutilon,val
data\split\test\flowers\Abutilon\549bc34b29_aug0.jpg,flowers,Abutilon,test
data\split\test\flowers\Abutilon\8a23457e6b_aug0_aug2.jpg,flowers,Abutilon,test
data\split\test\flowers\Abutilon\8c45bbef7d_aug1_aug0.jpg,flowers,Abutilon,test
data\split\test\flowers\Abutilon\42c9161a58_aug2_aug2.jpg,flowers,Abutilon,test
data\split\test\flowers\Abutilon\8c05b6616c_aug1_aug1.jpg,flowers,Abutilon,test
data\split\test\flowers\Abutilon\b15c90e1ba_aug2_aug1.jpg,flowers,Abutilon,test
data\split\test\flowers\Abutilon\f10e4adf4f_aug0_aug2.jpg,flowers,Abutilon,test
data\split\test\flowers\Abutilon\e6e46f74cc_aug1_aug0.jpg,flowers,Abutilon,test
data\split\test\flowers\Abutilon\2a0767423f_aug0.jpg,flowers,Abutilon,test
data\split\test\flowers\Abutilon\f7f0dbfe3a_aug0_aug0.jpg,flowers,Abutilon,test
data\split\test\flowers\Abutilon\e2756496eb_aug0_aug2.jpg,flowers,Abutilon,test
data\split\test\flowers\Abutilon\76a961dfc4_aug1.jpg,flowers,Abutilon,test
data\split\test\flowers\Abutilon\581c3330e0_aug2.jpg,flowers,Abutilon,test
data\split\test\flowers\Abutilon\0d71f95d23_aug0.jpg,flowers,Abutilon,test
data\split\test\flowers\Abutilon\1bcd0e24cd_aug2_aug0.jpg,flowers,Abutilon,test
data\split\test\flowers\Abutilon\4b7e11ddb6_aug0_aug2.jpg,flowers,Abutilon,test
data\split\test\flowers\Abutilon\8c05b6616c_aug1_aug0.jpg,flowers,Abutilon,test
data\split\test\flowers\Abutilon\76a961dfc4_aug2_aug0.jpg,flowers,Abutilon,test
data\split\test\flowers\Abutilon\24d74cbb40_aug0_aug1.jpg,flowers,Abutilon,test
data\split\test\flowers\Abutilon\8c45bbef7d_aug2_aug0.jpg,flowers,Abutilon,test
data\split\test\flowers\Abutilon\2e1c48e763_aug1.jpg,flowers,Abutilon,test
data\split\test\flowers\Abutilon\e2756496eb_aug0.jpg,flowers,Abutilon,test
data\split\test\flowers\Abutilon\b2feb55dd4_aug0_aug0.jpg,flowers,Abutilon,test
data\split\test\flowers\Abutilon\0d71f95d23.jpg,flowers,Abutilon,test
data\split\test\flowers\Abutilon\66e1dc0cdc_aug2_aug2.jpg,flowers,Abutilon,test
data\split\test\flowers\Abutilon\897133cc2c_aug0_aug2.jpg,flowers,Abutilon,test
data\split\test\flowers\Abutilon\8a23457e6b_aug2.jpg,flowers,Abutilon,test
data\split\test\flowers\Abutilon\27a8425ab7_aug0_aug2.jpg,flowers,Abutilon,test
data\split\test\flowers\Abutilon\8c45bbef7d_aug2_aug1.jpg,flowers,Abutilon,test
data\split\test\flowers\Abutilon\f7f0dbfe3a_aug0_aug2.jpg,flowers,Abutilon,test
data\split\test\flowers\Abutilon\f84c310e32_aug1_aug0.jpg,flowers,Abutilon,test
data\split\test\flowers\Abutilon\88047e5c31_aug0_aug2.jpg,flowers,Abutilon,test
data\split\test\flowers\Abutilon\549bc34b29_aug0_aug2.jpg,flowers,Abutilon,test
data\split\test\flowers\Abutilon\4279f93363_aug1_aug2.jpg,flowers,Abutilon,test
data\split\test\flowers\Abutilon\f43b45b460.jpg,flowers,Abutilon,test
data\split\test\flowers\Abutilon\897133cc2c_aug0_aug0.jpg,flowers,Abutilon,test
data\split\test\flowers\Abutilon\f7f0dbfe3a_aug1_aug1.jpg,flowers,Abutilon,test
data\split\test\flowers\Abutilon\42c9161a58_aug2_aug0.jpg,flowers,Abutilon,test
data\split\test\flowers\Abutilon\04f51e35e6_aug0_aug2.jpg,flowers,Abutilon,test
data\split\test\flowers\Abutilon\66e9897764_aug2.jpg,flowers,Abutilon,test
data\split\test\flowers\Abutilon\affac9f5ad_aug0_aug2.jpg,flowers,Abutilon,test
data\split\test\flowers\Abutilon\549bc34b29_aug2.jpg,flowers,Abutilon,test
data\split\test\flowers\Abutilon\a87e76fa43_aug2_aug2.jpg,flowers,Abutilon,test
data\split\test\flowers\Abutilon\f84c310e32_aug1.jpg,flowers,Abutilon,test
data\split\test\flowers\Abutilon\50c404b35e_aug0_aug0.jpg,flowers,Abutilon,test
data\split\test\flowers\Abutilon\f10e4adf4f_aug0.jpg,flowers,Abutilon,test
data\split\test\flowers\Abutilon\0b2bc088e2_aug0.jpg,flowers,Abutilon,test
data\split\test\flowers\Abutilon\c1ae29a2ef_aug0.jpg,flowers,Abutilon,test
data\split\test\flowers\Abutilon\581c3330e0_aug2_aug2.jpg,flowers,Abutilon,test
data\split\test\flowers\Abutilon\549bc34b29_aug1.jpg,flowers,Abutilon,test
